City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wellington,-41.2866,174.7756,64.58,76,100,20.71,NZ,1683578473
1,laurinburg,34.7741,-79.4628,85.96,48,0,5.75,US,1683578473
2,edinburgh of the seven seas,-37.0676,-12.3116,59.97,64,100,10.67,SH,1683578473
3,college,64.8569,-147.8028,50.32,54,75,5.75,US,1683578474
4,grytviken,-54.2811,-36.5092,31.64,78,11,11.16,GS,1683578474
5,west island,-12.1568,96.8225,78.78,94,40,3.44,CC,1683578474
6,rio san juan,19.6439,-70.0763,82.11,73,88,16.46,DO,1683578474
7,chernyshevskiy,63.0128,112.4714,30.34,96,100,6.53,RU,1683578480
8,jacmel,18.2342,-72.5347,91.24,70,100,8.05,HT,1683578480
9,verdal,63.7933,11.4817,55.44,76,100,4.63,NO,1683578480
10,ulsteinvik,62.3432,5.8487,56.3,66,100,5.99,NO,1683578480
11,kerman,30.2832,57.0788,62.46,20,0,4.61,IR,1683578481
12,nova sintra,14.8667,-24.7167,68.83,81,0,17.22,CV,1683578481
13,waitangi,-43.9535,-176.5597,59.83,95,100,8.01,NZ,1683578481
14,ushuaia,-54.8,-68.3,49.66,46,40,9.22,AR,1683578481
15,bethel,41.3712,-73.414,75.79,35,0,10.36,US,1683578482
16,jamestown,42.097,-79.2353,64.04,42,0,12.66,US,1683578479
17,piterka,50.6803,47.4454,46.2,48,100,17.63,RU,1683578482
18,whitehorse,60.7161,-135.0538,51.03,32,40,13.8,CA,1683578481
19,sarupathar,26.1984,93.8094,69.28,70,0,3.02,IN,1683578483
20,urzhar,47.093,81.6294,54.18,53,1,4.18,KZ,1683578483
21,nizhneangarsk,55.7833,109.55,33.1,84,7,5.39,RU,1683578483
22,princeville,45.7668,-61.2985,46.51,92,100,9.22,CA,1683578483
23,adamstown,-25.066,-130.1015,71.13,55,100,13.89,PN,1683578484
24,georgetown,5.4112,100.3354,84.13,89,20,3.44,MY,1683578481
25,port-aux-francais,-49.35,70.2167,42.22,95,100,42.28,TF,1683578484
26,lorengau,-2.0226,147.2712,82.67,77,99,4.81,PG,1683578485
27,port mathurin,-19.6833,63.4167,78.44,74,61,21.25,MU,1683578485
28,mugia,43.1041,-9.2179,64.17,98,100,10.07,ES,1683578485
29,yaguara,2.6636,-75.5175,88.25,44,52,6.11,CO,1683578485
30,kulp,38.4972,41.0122,58.39,61,84,2.53,TR,1683578486
